Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Sample Type,Parent Sample Code,TotAlkalinity,DissAmmonia,DissBromide,DissCalcium,DissChloride,Chla,DissNitrateNitrite,DOC,TOC,DON,Pheoa,TotPhos,DissSilica,TDS,TSS,VSS,TKN,DissOrthophos
Blank; Equipment,Blank; Equipment,1/11/2023 20:30,E0123B0001,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,1/12/2023 12:10,E0123B0006,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,1/13/2023 14:20,E0123B0028,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,1/17/2023 15:00,E0123B0050,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,1/18/2023 15:00,E0123B0104,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,1/19/2023 14:45,E0123B0140,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,1/20/2023 15:25,E0123B0182,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,2/6/2023 17:20,E0223B0189,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,2/7/2023 17:40,E0223B0200,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,2/10/2023 16:25,E0223B0221,0 Meters,,Blank; Equipment,0,"<20,<20**",<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,2/13/2023 12:25,E0223B0246,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,2/14/2023 13:20,E0223B0308,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,2/15/2023 13:40,E0223B0350,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,2/16/2023 15:10,E0223B0444,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,3/10/2023 14:15,E0323B0449,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,3/13/2023 11:15,E0323B0460,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,3/15/2023 13:15,E0323B0526,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,3/16/2023 12:45,E0323B0641,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,3/17/2023 15:50,E0323B0561,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,3/20/2023 15:25,E0323B0745,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,0.012,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,4/11/2023 15:00,E0423B0754,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,4/12/2023 11:10,E0423B0765,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,4/13/2023 12:35,E0423B0799,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,4/14/2023 13:00,E0423B0827,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,4/17/2023 15:30,E0423B0893,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,0.011,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,4/18/2023 15:00,E0423B0935,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,4/19/2023 16:40,E0423B0983,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,5/10/2023 14:30,E0523B0990,0 Meters,,Blank; Equipment,0,<20,<0.05,N/A,<1,<1,<0.5,<0.05,N/A,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,5/11/2023 11:10,E0523B1001,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
Blank; Equipment,Blank; Equipment,5/12/2023 13:25,E0523B1035,0 Meters,,Blank; Equipment,0,<20,<0.05,<0.1,<1,<1,<0.5,<0.05,<0.5,<0.5,<0.1,<0.5,<0.01,<0.1,<2.5,<2.5,<2.5,<0.1,<0.05
