SampleID,Group,Units.per.L,,Year,Month,DateTime,Region,StationCode
EMP.D19.2013.09.23,Cryptophytes,64350,,2013,Sep,9/23/2013 8:52,Central Delta,D19
EMP.D19.2013.09.23,Cyanobacteria,26319150,,2013,Sep,9/23/2013 8:52,Central Delta,D19
EMP.D19.2013.09.23,Diatoms,1415700,,2013,Sep,9/23/2013 8:52,Central Delta,D19
EMP.D19.2013.09.23,Golden Algae,64350,,2013,Sep,9/23/2013 8:52,Central Delta,D19
EMP.D28A.2013.09.23,Cryptophytes,506700,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.D28A.2013.09.23,Cyanobacteria,20662100,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.D28A.2013.09.23,Diatoms,1745300,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.D28A.2013.09.23,Golden Algae,56300,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.D28A.2013.09.23,Green Algae,56300,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.C3A.2013.09.23,Cyanobacteria,30778700,,2013,Sep,9/23/2013 12:30,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Diatoms,3303080,,2013,Sep,9/23/2013 12:30,Northern Interior Delta,C3A
EMP.D26.2013.09.24,Cryptophytes,150140,,2013,Sep,9/24/2013 8:00,Central Delta,D26
EMP.D26.2013.09.24,Cyanobacteria,31679540,,2013,Sep,9/24/2013 8:00,Central Delta,D26
EMP.D26.2013.09.24,Diatoms,1801680,,2013,Sep,9/24/2013 8:00,Central Delta,D26
EMP.P8.2013.09.24,Cyanobacteria,29352370,,2013,Sep,9/24/2013 9:21,Southern Interior Delta,P8
EMP.P8.2013.09.24,Diatoms,2327170,,2013,Sep,9/24/2013 9:21,Southern Interior Delta,P8
EMP.P8.2013.09.24,Green Algae,375350,,2013,Sep,9/24/2013 9:21,Southern Interior Delta,P8
EMP.C10A.2013.09.24,Cryptophytes,90090,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Cyanobacteria,42882840,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Diatoms,6576570,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Golden Algae,90090,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Green Algae,360360,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.MD10A.2013.09.24,Cyanobacteria,13513500,,2013,Sep,9/24/2013 10:45,Southern Interior Delta,MD10A
EMP.MD10A.2013.09.24,Diatoms,3726450,,2013,Sep,9/24/2013 10:45,Southern Interior Delta,MD10A
EMP.D8.2013.09.25,Cryptophytes,225200,,2013,Sep,9/25/2013 8:15,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Cyanobacteria,22520000,,2013,Sep,9/25/2013 8:15,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Diatoms,675600,,2013,Sep,9/25/2013 8:15,Grizzly and Suisun Bay,D8
