"","DateTime","Month","Year","StationCode","Study","Region","Group","Taxon","Genus","Species","Units.per.mL","BV.um3.per.mL"
"1",2022-01-10 12:10:00,"Jan","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Achnanthidium sp.","Achnanthidium","sp.",41.82,3074.1882
"2",2022-01-10 12:10:00,"Jan","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Aulacoseira pusilla","Aulacoseira","pusilla",334.56,105466.6944
"3",2022-01-10 12:10:00,"Jan","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Cocconeis placentula","Cocconeis","placentula",41.82,12297.171
"4",2022-01-10 12:10:00,"Jan","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Cyclotella sp.","Cyclotella","sp.",41.82,34999.9944
"5",2022-01-10 12:10:00,"Jan","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Nitzschia spp.","Nitzschia","spp.",125.46,11837.151
"6",2022-01-10 12:10:00,"Jan","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Ulnaria sp.","Ulnaria","sp.",41.82,316313.5158
"7",2022-01-10 12:10:00,"Jan","2022","NZ068","EMP","Northern Interior Delta","Cryptophytes","Plagioselmis prolonga","Plagioselmis","prolonga",83.64,6385.914
"8",2022-01-10 12:10:00,"Jan","2022","NZ068","EMP","Northern Interior Delta","Cyanobacteria","Eucapsis microscopica","Eucapsis","microscopica",16644.36,5991.9696
"9",2022-02-10 14:45:00,"Feb","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Achnanthidium sp.","Achnanthidium","sp.",77.3,3969.355
"10",2022-02-10 14:45:00,"Feb","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Cocconeis placentula","Cocconeis","placentula",77.3,85949.097
"11",2022-02-10 14:45:00,"Feb","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Cyclotella sp.","Cyclotella","sp.",154.6,15903.702
"12",2022-02-10 14:45:00,"Feb","2022","NZ068","EMP","Northern Interior Delta","Diatoms","Encyonema sp.","Encyonema","sp.",38.65,2010.9595
